Problem,Solution Length,Worse Rate,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
p43,5676,-0.9866102889358785,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16413,-12.130628160604402,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2520,-27.023809523809533,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1570,-18.089171974522287,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46485,-22.06087985371626,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1662,-7.942238267148014,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1987,-19.073980875692,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8828,-21.782963298595377,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1729,-23.308270676691734,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1812,-35.8167770419426,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3906,-30.36354326676907,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3517,-29.911856696047764,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,41857,-7.606851900518436,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3907,-29.485538776554904,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2271,-21.79656538969617,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2379,-18.032786885245898,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5684,-1.1259676284306863,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16222,-11.096042411539884,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2550,-27.882352941176464,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1596,-19.42355889724311,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46363,-21.855790177512233,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1670,-8.383233532934128,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1958,-17.87538304392237,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8845,-21.933295647258333,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1791,-17.755443886097154,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1724,-23.08584686774941,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1812,-35.8167770419426,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3883,-29.951068761267067,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3481,-29.18701522550991,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42140,-8.227337446606555,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2218,-19.92786293958521,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
